ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,Martin Luther King Jr. Day,Martin Luther King Jr. Day_lower,Martin Luther King Jr. Day_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Sunday,Sunday_lower,Sunday_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-08-31,22.662362358084046,-4.178154911755018,25.03321375289102,22.662362358084046,22.662362358084046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.978532588726516,-11.978532588726516,-11.978532588726516,-9.818957136537001,-9.818957136537001,-9.818957136537001,0.0,0.0,0.0,-2.207798587974796,-2.207798587974796,-2.207798587974796,0.048223135785280286,0.048223135785280286,0.048223135785280286,0.0,0.0,0.0,10.68382976935753
2018-09-01,22.660948764277187,-9.370094934241514,20.50500417009951,22.660948764277187,22.660948764277187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.869167617509497,-16.869167617509497,-16.869167617509497,-9.818957136537001,-9.818957136537001,-9.818957136537001,0.0,0.0,0.0,-6.565658711294099,-6.565658711294099,-6.565658711294099,-0.4845517696783962,-0.4845517696783962,-0.4845517696783962,0.0,0.0,0.0,5.79178114676769
2018-09-02,22.659535170470328,-1.7514949345667086,27.750262129992453,22.659535170470328,22.659535170470328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.69110826371894,-9.69110826371894,-9.69110826371894,-9.818957136537001,-9.818957136537001,-9.818957136537001,0.0,0.0,0.0,1.2273696425859322,1.2273696425859322,1.2273696425859322,-1.0995207697678713,-1.0995207697678713,-1.0995207697678713,0.0,0.0,0.0,12.968426906751388
2018-09-03,22.658121576663472,-2.906173592687008,26.884175866608835,22.658121576663472,22.658121576663472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9690297444555727,-2.9690297444555727,-2.9690297444555727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.193909470736598,-11.193909470736598,-11.193909470736598,-9.818957136537001,-9.818957136537001,-9.818957136537001,-2.9690297444555727,-2.9690297444555727,-2.9690297444555727,3.3761821210316074,3.3761821210316074,3.3761821210316074,-1.7821047107756312,-1.7821047107756312,-1.7821047107756312,0.0,0.0,0.0,11.464212105926874
2018-09-04,22.656707982856616,-4.302278828790285,26.35037363399119,22.656707982856616,22.656707982856616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.334679032105239,-11.334679032105239,-11.334679032105239,-9.818957136537001,-9.818957136537001,-9.818957136537001,0.0,0.0,0.0,1.0001044295879624,1.0001044295879624,1.0001044295879624,-2.5158263251561994,-2.5158263251561994,-2.5158263251561994,0.0,0.0,0.0,11.322028950751378
2018-09-05,22.655294389049757,-8.09252109483538,22.10792715094178,22.655294389049757,22.655294389049757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.927535720660272,-15.927535720660272,-15.927535720660272,-9.818957136537001,-9.818957136537001,-9.818957136537001,0.0,0.0,0.0,-2.825859172134074,-2.825859172134074,-2.825859172134074,-3.282719411989192,-3.282719411989192,-3.282719411989192,0.0,0.0,0.0,6.727758668389486
2018-09-06,22.653880795242898,-0.13280021621522226,30.025164755135915,22.653880795242898,22.653880795242898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.887075923954785,-7.887075923954785,-7.887075923954785,-9.818957136537001,-9.818957136537001,-9.818957136537001,0.0,0.0,0.0,5.995660278180256,5.995660278180256,5.995660278180256,-4.063779065598039,-4.063779065598039,-4.063779065598039,0.0,0.0,0.0,14.766804871288112
2018-09-07,22.65246720143604,-8.877986216595248,21.47069622086281,22.65246720143604,22.65246720143604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.86619708169721,-16.86619708169721,-16.86619708169721,-9.818957136537001,-9.818957136537001,-9.818957136537001,0.0,0.0,0.0,-2.2077985879597115,-2.2077985879597115,-2.2077985879597115,-4.839441357200492,-4.839441357200492,-4.839441357200492,0.0,0.0,0.0,5.78627011973883
2018-09-08,22.651053607629184,-14.420654725203235,17.188893981713647,22.651053607629187,22.651053607629187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.9746958867502,-21.9746958867502,-21.9746958867502,-9.818957136537001,-9.818957136537001,-9.818957136537001,0.0,0.0,0.0,-6.565658711284012,-6.565658711284012,-6.565658711284012,-5.590080038929184,-5.590080038929184,-5.590080038929184,0.0,0.0,0.0,0.6763577208789826
2018-09-09,22.649640013822328,-7.7226511337676715,22.459029069892974,22.649640013822328,22.649640013822328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.888094826670335,-14.888094826670335,-14.888094826670335,-9.818957136537001,-9.818957136537001,-9.818957136537001,0.0,0.0,0.0,1.2273696426103444,1.2273696426103444,1.2273696426103444,-6.296507332743676,-6.296507332743676,-6.296507332743676,0.0,0.0,0.0,7.761545187151993
